# 이 표는 우리 순위가 아니다. 우리 순위는 지표 가중합이 아니라 실제 질문·답변의
# 채점이다(JUDGING.md). 지표로 줄 세우는 방식은 우리가 실측으로 폐기했다.
# 여기 있는 것은 **재계산에 필요한 원자료를 편 것**이다.
name,category,ours,repo_url,status,reachable,needs_key,tool_count,warm_ms,cold_ms,described_pct,desc_median,input_schema_pct,output_schema_pct,annotated_pct,readonly_pct,self_hosting,license,repo_public,paid_disclosed,tools_total,tools_free,tools_paid,rank_in_category,factual_errors
Noah3521/coupang-sourcing,커머스·생활,0,https://github.com/Noah3521/coupang-sourcing,,,,,,,,,,,,,source_only,,1,0,,,,,
NotNull92/korea-unipass-mcp,세금·재정,0,https://github.com/NotNull92/korea-unipass-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
OldTemple91/korea-filings-api,금융·증시,0,https://github.com/OldTemple91/korea-filings-api,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
OneVth/danbooru-tag-rag-mcp,커머스·생활,0,https://github.com/OneVth/danbooru-tag-rag-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
Park3min/yr-weather-mcp,날씨·환경,0,https://github.com/Park3min/yr-weather-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
RealYoungk/opendart_mcp,금융·증시,0,https://github.com/RealYoungk/opendart_mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
RealYoungk/openkrx-mcp,금융·증시,0,https://github.com/RealYoungk/openkrx-mcp,,,,,,,,,,,,,packaged,,1,0,,,,,
Sedong-Choi/jangbogo-mcp,커머스·생활,0,https://github.com/Sedong-Choi/jangbogo-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
Sedong-Choi/kakao-mcp,지도·주소,0,https://github.com/Sedong-Choi/kakao-mcp,,,,,,,,,,,,,packaged,,1,0,,,,,
SeoNaRu/korean-law-mcp,법령·판례,0,https://github.com/SeoNaRu/korean-law-mcp,,,,,,,,,,,,,packaged,,1,0,,,,,
SeoNaRu/lexguard-mcp,법령·판례,0,https://github.com/SeoNaRu/lexguard-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
Seonh0/naver-land-mcp,부동산,0,https://github.com/Seonh0/naver-land-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
SinGonKim/korean-med-mcp,의료·복지,0,https://github.com/SinGonKim/korean-med-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
SkillfulBasher1/construct-cm-bridge,법령·판례,0,https://github.com/SkillfulBasher1/construct-cm-bridge,,,,,,,,,,,,,source_only,,1,0,,,,,
SonAIengine/ku-portal-mcp,교육·문화,0,https://github.com/SonAIengine/ku-portal-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
TanTenTin/kakao-docs-mcp,기타,0,https://github.com/TanTenTin/kakao-docs-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
Tech-curator/korean-patent-mcp,공공데이터·행정,0,https://github.com/Tech-curator/korean-patent-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
UrbanWatcherKr/korean-land-mcp,지도·주소,0,https://github.com/UrbanWatcherKr/korean-land-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
a2a-mcp-multiagent-study/Ticker-Score-Agent,금융·증시,0,https://github.com/a2a-mcp-multiagent-study/Ticker-Score-Agent,,,,,,,,,,,,,source_only,,1,0,,,,,
aesthetic-legalism5470/korean-dart-mcp,금융·증시,0,https://github.com/aesthetic-legalism5470/korean-dart-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
afrontend/dongnelibrary-mcp-server,교육·문화,0,https://github.com/afrontend/dongnelibrary-mcp-server,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
agent504330-ux/mcp-korean-stock,금융·증시,0,https://github.com/agent504330-ux/mcp-korean-stock,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
ai.atdev/supershopping,커머스·생활,0,https://github.com/alex-hoyeol-choi/headless-commerce,live,1,0,8,41,46,100,311,100,88,100,88,unknown,,,0,,,,,
ai.heyyumi/heyyumi,커머스·생활,0,https://github.com/hmp-dev/heyyumi-mcp,live,1,1,,,336,,,,,,,source_only,,1,0,,,,,
ai.hotker/hotker,커머스·생활,0,https://github.com/c2bcom10-ship-it/hotker,live,1,0,6,38,41,100,63,100,0,0,0,unknown,,,0,,,,,
